Team,Position,Games Played,Wins,Draws,Losses,Goals Scored,Goals Against,Wins - Home,Draws - Home,Losses - Home,Goals Scored - Home,Goals Against - Home,Wins - Away,Draws - Away,Losses - Away,Goals Scored - Away,Goals Against - Away,Goal Differnce,Points
Manchester United,1,38,28,6,4,68,24,16,2,1,43,13,12,4,3,25,11,44,90
Liverpool,2,38,25,11,2,77,27,12,7,0,41,13,13,4,2,36,14,50,86
Chelsea,3,38,25,8,5,68,24,11,6,2,33,12,14,2,3,35,12,44,83
Arsenal,4,38,20,12,6,68,37,11,5,3,31,16,9,7,3,37,21,31,72
Everton,5,38,17,12,9,55,37,8,6,5,31,20,9,6,4,24,17,18,63
Aston Villa,6,38,17,11,10,54,48,7,9,3,27,21,10,2,7,27,27,6,62
Fulham,7,38,14,11,13,39,34,11,3,5,28,16,3,8,8,11,18,5,53
Tottenham Hotspur,8,38,14,9,15,45,45,10,5,4,21,10,4,4,11,24,35,0,51
West Ham United,9,38,14,9,15,42,45,9,2,8,23,22,5,7,7,19,23,-3,51
Manchester City,10,38,15,5,18,58,50,13,0,6,40,18,2,5,12,18,32,8,50
Wigan Athletic,11,38,12,9,17,34,45,8,5,6,17,18,4,4,11,17,27,-11,45
Stoke City,12,38,12,9,17,38,55,10,5,4,22,15,2,4,13,16,40,-17,45
Bolton Wanderers,13,38,11,8,19,41,53,7,5,7,21,21,4,3,12,20,32,-12,41
Portsmouth,14,38,10,11,17,38,57,8,3,8,26,29,2,8,9,12,28,-19,41
Blackburn Rovers,15,38,10,11,17,40,60,6,7,6,22,23,4,4,11,18,37,-20,41
Sunderland,16,38,9,9,20,34,54,6,3,10,21,25,3,6,10,13,29,-20,36
Hull City,17,38,8,11,19,39,64,3,5,11,18,36,5,6,8,21,28,-25,35
Newcastle United,18,38,7,13,18,40,59,5,7,7,24,29,2,6,11,16,30,-19,34
Middlesbrough,19,38,7,11,20,28,57,5,9,5,17,20,2,2,15,11,37,-29,32
West Bromwich Albion,20,38,8,8,22,36,67,7,3,9,26,33,1,5,13,10,34,-31,32
