Team,Position,Games Played,Wins,Draws,Losses,Goals Scored,Goals Against,Wins - Home,Draws - Home,Losses - Home,Goals Scored - Home,Goals Against - Home,Wins - Away,Draws - Away,Losses - Away,Goals Scored - Away,Goals Against - Away,Goal Differnce,Points
Manchester City,1,38,28,5,5,93,29,18,1,0,55,12,10,4,5,38,17,64,89
Manchester United,2,38,28,5,5,89,33,15,2,2,52,19,13,3,3,37,14,56,89
Arsenal,3,38,21,7,10,74,49,12,4,3,39,17,9,3,7,35,32,25,70
Tottenham Hotspur,4,38,20,9,9,66,41,13,3,3,39,17,7,6,6,27,24,25,69
Newcastle United,5,38,19,8,11,56,51,11,5,3,29,17,8,3,8,27,34,5,65
Chelsea,6,38,18,10,10,65,46,12,3,4,41,24,6,7,6,24,22,19,64
Everton,7,38,15,11,12,50,40,10,3,6,28,15,5,8,6,22,25,10,56
Liverpool,8,38,14,10,14,47,40,6,9,4,24,16,8,1,10,23,24,7,52
Fulham,9,38,14,10,14,48,51,10,5,4,36,26,4,5,10,12,25,-3,52
West Bromwich Albion,10,38,13,8,17,45,52,6,3,10,21,22,7,5,7,24,30,-7,47
Swansea City,11,38,12,11,15,44,51,8,7,4,27,18,4,4,11,17,33,-7,47
Norwich City,12,38,12,11,15,52,66,7,6,6,28,30,5,5,9,24,36,-14,47
Sunderland,13,38,11,12,15,45,46,7,7,5,26,17,4,5,10,19,29,-1,45
Stoke City,14,38,11,12,15,36,53,7,8,4,25,20,4,4,11,11,33,-17,45
Wigan Athletic,15,38,11,10,17,42,62,5,7,7,22,27,6,3,10,20,35,-20,43
Aston Villa,16,38,7,17,14,37,53,4,7,8,20,25,3,10,6,17,28,-16,38
Queens Park Rangers,17,38,10,7,21,43,66,7,5,7,24,25,3,2,14,19,41,-23,37
Bolton Wanderers,18,38,10,6,22,46,77,4,4,11,23,39,6,2,11,23,38,-31,36
Blackburn Rovers,19,38,8,7,23,48,78,6,1,12,26,33,2,6,11,22,45,-30,31
Wolverhampton Wanderers,20,38,5,10,23,40,82,3,3,13,19,43,2,7,10,21,39,-42,25
