Team,Position,Games Played,Wins,Draws,Losses,Goals Scored,Goals Against,Wins - Home,Draws - Home,Losses - Home,Goals Scored - Home,Goals Against - Home,Wins - Away,Draws - Away,Losses - Away,Goals Scored - Away,Goals Against - Away,Goal Differnce,Points
Manchester United,1,38,28,5,5,86,43,16,0,3,45,19,12,5,2,41,24,43,89
Manchester City,2,38,23,9,6,66,34,14,3,2,41,15,9,6,4,25,19,32,78
Chelsea,3,38,22,9,7,75,39,12,5,2,41,16,10,4,5,34,23,36,75
Arsenal,4,38,21,10,7,72,37,11,5,3,47,23,10,5,4,25,14,35,73
Tottenham Hotspur,5,38,21,9,8,66,46,11,5,3,29,18,10,4,5,37,28,20,72
Everton,6,38,16,15,7,55,40,12,6,1,33,17,4,9,6,22,23,15,63
Liverpool,7,38,16,13,9,71,43,9,6,4,33,16,7,7,5,38,27,28,61
West Bromwich Albion,8,38,14,7,17,53,57,9,4,6,32,25,5,3,11,21,32,-4,49
Swansea City,9,38,11,13,14,47,51,6,8,5,28,26,5,5,9,19,25,-4,46
West Ham United,10,38,12,10,16,45,53,9,6,4,34,22,3,4,12,11,31,-8,46
Norwich City,11,38,10,14,14,41,58,8,7,4,25,20,2,7,10,16,38,-17,44
Fulham,12,38,11,10,17,50,60,7,3,9,28,30,4,7,8,22,30,-10,43
Stoke City,13,38,9,15,14,34,45,7,7,5,21,22,2,8,9,13,23,-11,42
Southampton,14,38,9,14,15,49,60,6,7,6,26,24,3,7,9,23,36,-11,41
Aston Villa,15,38,10,11,17,47,69,5,5,9,23,28,5,6,8,24,41,-22,41
Newcastle United,16,38,11,8,19,45,68,9,1,9,24,31,2,7,10,21,37,-23,41
Sunderland,17,38,9,12,17,41,54,5,8,6,20,19,4,4,11,21,35,-13,39
Wigan Athletic,18,38,9,9,20,47,73,4,6,9,26,39,5,3,11,21,34,-26,36
Reading,19,38,6,10,22,43,73,4,8,7,23,33,2,2,15,20,40,-30,28
Queens Park Rangers,20,38,4,13,21,30,60,2,8,9,13,28,2,5,12,17,32,-30,25
